Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,IPS,PPI,CPU_Name,first,Layer1HDD,Layer2Flash Storage,Gpu_Brand
Lenovo,Gaming,8,Windows,2.5,53226.72,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Ultrabook,8,Windows,1.88,69157.44,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
Dell,Gaming,16,Windows,2.65,79866.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.43,130482.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,58341.6,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Dell,Notebook,8,Windows,2.02,45554.4,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
HP,Notebook,8,Windows,2.5,52054.56,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,2.65,71874.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.2,77202.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
HP,Gaming,12,Windows,2.62,66546.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.2,69210.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Ultrabook,16,Windows,1.5,67239.36,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Notebook,8,Windows,2.16,60223.98239999999,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.8,119427.12,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,3.0,49976.64,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,2.9,108105.12,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.8,100699.2,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.4,95850.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,8,Windows,2.56,56502.907199999994,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,32,Windows,4.4,149130.72,0,0,3686458.695652174,Intel Core i7,,0,0,Nvidia
HP,Gaming,16,Windows,3.35,73473.12,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,2.65,98301.6,0,1,14745738.461538462,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,93186.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Workstation,16,Windows,2.8,162770.4,0,0,14745738.461538462,Other Intel Processor,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,74964.95999999999,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,130873.7952,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.69,47472.48,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,79866.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,32,Windows,4.7,207259.2,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.1,61005.6,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Other,2.69,47365.92,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,4.3,95850.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,4.14,133146.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,2 in 1 Convertible,8,Windows,1.1,79866.72,1,0,3686481.203007519,Intel Core i7,,0,0,Intel
Lenovo,Notebook,6,Windows,2.8,45767.52,0,0,2560052.023121387,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,2.5,62817.119999999995,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,113060.16,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.5,67399.2,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,8,Windows,2.3,43636.32,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,2.8,111834.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,63882.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.0,71075.52,0,0,3686477.1428571427,Intel Core i7,,0,0,Intel
Dell,Ultrabook,8,Windows,1.9,55890.72,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Lenovo,Gaming,16,Windows,2.4,60153.119999999995,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Ultrabook,16,Windows,1.88,85672.1088,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
MSI,Gaming,8,Windows,2.7,75071.52,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,6,Windows,2.8,38308.32,0,0,2560052.023121387,Intel Core i5,,0,0,Nvidia
Lenovo,Gaming,8,Other,2.4,43103.52,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Asus,2 in 1 Convertible,12,Windows,2.26,58554.72,1,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
HP,Gaming,8,Windows,3.35,63456.48,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.3,88178.4,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,3.0,84768.48,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,81465.12,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.8,119826.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,149130.72,0,1,6553683.23699422,Intel Core i7,,0,0,Nvidia
Dell,Gaming,8,Windows,2.62,61751.52,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
HP,Gaming,12,Windows,3.35,106506.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
HP,Gaming,8,Windows,2.2,58554.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Workstation,8,Windows,2.23,106187.04,0,0,3686469.230769231,Other Intel Processor,,0,0,Nvidia
Asus,Notebook,12,Windows,2.06,69210.72,0,1,14745738.461538462,Intel Core i7,,0,0,Intel
Asus,Gaming,8,Windows,1.99,71928.0,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,24,Windows,4.33,67612.31999999999,1,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.0,65214.72,0,0,3686469.230769231,Intel Core i7,,0,0,Intel
Lenovo,Gaming,8,Other,2.4,61218.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,3.0,80133.12,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,3.2,74538.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,160520.3856,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.0,69210.72,0,1,14745738.461538462,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.3,87858.72,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,143802.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,6,Windows,2.8,50562.72,0,0,2560052.023121387,Intel Core i7,,0,0,Nvidia
Asus,Notebook,8,Windows,2.5,44701.92,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Lenovo,Gaming,32,Windows,4.6,141884.63999999998,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,4.14,145401.12,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,4.5,125154.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
HP,Gaming,16,Windows,3.78,79813.44,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.73,94305.6,0,1,3686462.427745665,Intel Core i5,,0,0,Nvidia
Samsung,Notebook,16,Windows,2.5,90522.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,4.14,117162.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.8,122490.72,0,0,14745738.461538462,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,3.0,62231.04,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.94,120831.5808,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,2.62,78801.12,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,2.5,59087.52,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,63499.10399999999,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,3.31,63722.88,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,32,Windows,4.42,167691.8736,0,1,14745724.855491329,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,79215.1056,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.4,68944.31999999999,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,3.21,109277.28,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,3.49,149916.6,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,4,Windows,2.1,33110.856,0,0,3686469.230769231,Intel Core i5,,0,0,Intel
Lenovo,Gaming,8,Windows,2.5,66546.72,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,32,Windows,4.36,194972.832,0,0,14745724.855491329,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,71847.0144,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Acer,Gaming,16,Windows,4.2,103096.8,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.8,111593.8944,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Notebook,8,Windows,2.0,64308.96,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
HP,Notebook,8,Windows,2.2,58554.72,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,4.42,152859.7872,0,1,14745738.461538462,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,2.5,55837.439999999995,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,2.72,58554.72,1,1,14745738.461538462,Intel Core i7,,0,0,Nvidia
Dell,Gaming,32,Windows,4.42,191211.264,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,4.3,125208.0,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.6,100752.48,0,1,3686477.1428571427,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,58021.92,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Acer,Gaming,16,Windows,4.2,122490.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.24,71341.92,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.9,128671.2,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.36,133467.4656,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,3.21,147832.28639999998,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,128884.32,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.73,95850.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,32,Windows,4.42,163723.57919999998,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.1,101178.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Notebook,4,Windows,2.18,48618.0,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Asus,Gaming,12,Windows,2.2,72988.272,0,0,3686462.427745665,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,2.43,141138.72,0,1,14745724.855491329,Intel Core i7,,0,0,Nvidia
Asus,Gaming,32,Windows,3.58,68145.12,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Notebook,8,Windows,2.6,42037.92,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,2.7,85194.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,2.6,71874.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,59668.804800000005,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,63882.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,4.36,146946.24,0,0,6553683.23699422,Intel Core i7,,0,0,Nvidia
HP,Gaming,8,Windows,2.75,74538.72,0,1,3686462.427745665,Intel Core i5,,0,0,Nvidia
Dell,Gaming,16,Windows,4.36,168045.12,0,1,14745724.855491329,Intel Core i7,,0,0,Nvidia
Acer,Notebook,12,Windows,2.4,53759.52,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Dell,Gaming,32,Windows,4.42,167778.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Dell,Gaming,32,Windows,4.42,149184.0,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.73,109218.672,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
HP,Notebook,8,Windows,2.04,52161.119999999995,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
Asus,2 in 1 Convertible,16,Windows,2.3,95850.72,1,0,14745738.461538462,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.99,93186.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,2.5,63349.92,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.5,95850.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Acer,Gaming,8,Windows,2.7,67132.8,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.7,63499.10399999999,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
HP,Notebook,8,Windows,1.84,112065.9552,0,0,3686469.230769231,Intel Core i5,,0,0,Intel
MSI,Gaming,16,Windows,3.78,82351.6992,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,4.6,122010.66719999998,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.94,96916.32,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.8,102777.12,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Dell,Gaming,16,Windows,3.21,70809.12,0,0,14745738.461538462,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,3.78,133146.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,32,Windows,4.6,172627.19999999998,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.7,85194.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Acer,Notebook,8,Windows,2.4,42570.72,0,0,3686469.230769231,Intel Core i5,,0,0,Nvidia
Asus,Gaming,16,Windows,4.3,122490.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.9,80516.20319999999,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.59,71341.92,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,4.6,146519.46719999998,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,3.52,69929.4672,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Other,2.4,52693.92,0,1,3686469.230769231,Intel Core i5,,0,0,Nvidia
HP,Gaming,8,Windows,3.35,60153.119999999995,0,1,3686462.427745665,Intel Core i5,,0,0,Nvidia
MSI,Gaming,16,Windows,3.78,127818.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.4,60888.384,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.7,79536.38399999999,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.7,94252.32,0,0,3686477.1428571427,Intel Core i7,,0,0,Nvidia
Dell,Gaming,8,Windows,2.62,79813.44,0,0,14745738.461538462,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,1.91,114731.5536,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,8,Windows,2.591,48431.52,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Acer,Gaming,16,Windows,4.2,138474.72,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
HP,Notebook,12,Windows,2.21,70702.56,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,4.3,114552.0,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.43,109165.392,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.2,130482.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Notebook,16,Windows,2.2,93186.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.43,103842.1872,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.9,103842.72,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,8,Windows,2.6,67772.16,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,78647.1408,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Lenovo,Gaming,16,Windows,2.6,54825.119999999995,1,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.2,61218.72,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
MSI,Gaming,16,Windows,2.7,85141.44,0,0,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.3,62284.32,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.5,85248.0,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,2.34,123876.0,0,1,3686469.230769231,Intel Core i7,,0,0,Nvidia
Asus,Gaming,16,Windows,4.0,101232.0,0,1,3686462.427745665,Intel Core i7,,0,0,Nvidia
MSI,Gaming,8,Windows,2.4,65481.119999999995,0,0,3686469.230769231,Intel Core i7,,0,0,Nvidia
